Month,Value
2010-01,773.20
2010-02,804.00
2010-03,989.80
2010-04,904.50
2010-05,1114.90
2010-06,1223.00
2010-07,1520.20
2010-08,1553.60
2010-09,1217.70
2010-10,1166.30
2010-11,848.50
2010-12,786.50
2011-01,762.60
2011-02,774.40
2011-03,951.20
2011-04,1106.20
2011-05,1214.80
2011-06,1240.40
2011-07,1523.20
2011-08,1534.90
2011-09,1196.80
2011-10,1060.70
2011-11,845.90
2011-12,838.60
2012-01,725.80
2012-02,767.10
2012-03,945.20
2012-04,1123.30
2012-05,1147.50
2012-06,1288.60
2012-07,1489.00
2012-08,1546.60
2012-09,1235.10
2012-10,1121.90
2012-11,868.80
2012-12,883.10
2013-01,725.50
2013-02,753.50
2013-03,1016.40
2013-04,1095.30
2013-05,1236.60
2013-06,1320.30
2013-07,1589.30
2013-08,1619.10
2013-09,1276.50
2013-10,1166.90
2013-11,897.90
2013-12,935.70
2014-01,778.90
2014-02,800.10
2014-03,972.80
2014-04,1231.00
2014-05,1310.80
2014-06,1398.20
2014-07,1692.40
2014-08,1737.10
2014-09,1344.60
2014-10,1276.60
2014-11,987.50
2014-12,1016.70
2015-01,871.00
2015-02,911.40
2015-03,1126.80
2015-04,1324.00
2015-05,1429.80
2015-06,1576.00
2015-07,1863.70
2015-08,1842.30
2015-09,1487.00
2015-10,1450.80
2015-11,1109.60
2015-12,1108.00
2016-01,1001.80
2016-02,1039.20
2016-03,1316.00
2016-04,1388.90
2016-05,1567.20
2016-06,1687.90
2016-07,1982.20
2016-08,1974.30
2016-09,1617.60
2016-10,1523.20
2016-11,1219.40
2016-12,1214.80
2017-01,1092.40
2017-02,1066.90
2017-03,1323.30
2017-04,1557.20
2017-05,1621.40
2017-06,1768.90
2017-07,2061.70
2017-08,2069.80
2017-09,1702.80
2017-10,1569.60
2017-11,1289.30
2017-12,1276.00
2018-01,1156.90
2018-02,1108.70
2018-03,1345.00
2018-04,1633.10
2018-05,1752.20
2018-06,1883.40
2018-07,2163.70
2018-08,2163.60
2018-09,1806.40
2018-10,1682.80
2018-11,1355.40
2018-12,1344.70
2019-01,1213.20
2019-02,1187.30
2019-03,1465.90
2019-04,1712.90
2019-05,1818.90
2019-06,1941.10
2019-07,2225.90
2019-08,2256.50
2019-09,1871.10
2019-10,1727.10
2019-11,1351.40
2019-12,1372.60
2020-01,1235.10
2020-02,1215.10
2020-03,635.00
2020-04,16.10
2020-05,28.30
2020-06,57.10
2020-07,227.30
2020-08,362.60
2020-09,254.40
2020-10,160.90
2020-11,103.90
2020-12,164.40
2021-01,108.00
